ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
1,NAD(+)|nad+|,C21H26N7O14P2,-1,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 8 | ring =CH- : 6 | ring =N- : 3 | ring -O- : 2 | ring =C< : 2 | -OH : 4 | -NH2 : 2 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | dbl sgl ring =N< : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 3",-529.59,4.36,,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,
2,NADH|nadh|,C21H27N7O14P2,-2,"ring -N< : 2 | two fused rings >C= : 2 | ring -CH< : 8 | ring =CH- : 5 | ring =N- : 3 | ring -O- : 2 | ring =C< : 2 | -OH : 4 | -NH2 : 2 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | ring -CH2- : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2 | NADH : 1",-524.32,4.27,,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,
3,NADPH|,C21H27N7O17P3,-3,"ring -CH< : 8 | ring -N< : 2 | ring -O- : 2 | two fused rings >C= : 2 | ring =CH- : 5 | -OPO3 : 1 | ring =N- : 3 | -OH : 3 | -CH2- : 2 | ring =C< : 2 | -OPO3- : 1 | -NH2 : 2 | -OPO2- : 1 | ring -CH2- : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2 | NADH : 1",-736.82,4.26,,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,
4,NADP(+)|,C21H26N7O17P3,-2,"ring -CH< : 8 | ring -N< : 1 | ring -O- : 2 | two fused rings >C= : 2 | ring =CH- : 6 | -OPO3 : 1 | ring =N- : 3 | -OH : 3 | -CH2- : 2 | ring =C< : 2 | -OPO3- : 1 | -NH2 : 2 | -OPO2- : 1 | dbl sgl ring =N< : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 3",-742.09,4.35,,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,
5,o2|oxygen|,O2,0,"O2 : 1",3.92,0.5,,,"no exact name match in CHEBI"
6,pi|phosphate|,HO4P,-2,"orthophosphate : 1",-261.97,0.5,,,"no exact name match in CHEBI"
7,"Coenzyme A|",C21H33N7O16P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 2 | -SH : 1 | amide : 2 | -NH- : 2 | Origin : 1 | heteroaromatic : 2 | COA : 1",-751.99,3.45,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,
8,diphosphate|pyrophosphate|ppi|,H2O7P2,-2,"pyrophosphate : 1",-480.93,0.5,,OP(O)(=O)OP(O)(O)=O,
9,ammonia|nh4|,H4N,1,"NH4 : 1",-18.97,0.5,,[H]N([H])[H],
10,UDP|,C9H12N2O12P2,-2,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-605.77,1.89,,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O,
